# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
## Gravemaw Feast
n 墓喉飨宴
l0 飨宴
t0 破坏你控制的1只怪兽；对对手造成500点伤害，你获得500 LP。
l1 盛大飨宴
t1 破坏你控制的1只怪兽；对对手造成900点伤害，你获得900 LP。
## Gravemaw Feeding Trough
n 墓喉食槽
l0 保持满槽
t0 在你的准备阶段：磨切2张卡。
l1 残渣归来
t1 每回合一次——支付2点法力：把你的1张被放逐的卡返回你的墓地；获得1点法力。
## Gravemaw Gnawer
n 墓喉啃咬者
l0 第一口
t0 此卡被召唤时：磨切2张卡。
l1 啃回来
t1 支付1点法力并从你的墓地放逐另1张卡：从你的墓地特殊召唤此卡。
## Gravemaw Gulp
n 墓喉一口吞
l0 一口吞
t0 放逐对手控制的1只攻击力1500以下的怪兽。
l1 囫囵吞下
t1 改为支付4点法力：无攻击力上限。
## Gravemaw Leftovers
n 墓喉剩饭
l0 刮盘子
t0 支付1点法力：把你的至多3张被放逐的“墓喉”卡返回你的墓地。
l1 午夜加餐
t1 改为支付1点法力：把你的至多2张被放逐的“墓喉”卡返回你的墓地；抽1张卡。
## Gravemaw Nibbler
n 墓喉细嚼者
l0 细嚼慢咽
t0 此卡被召唤时：把你卡组顶的2张卡送入墓地。
l1 狼吞虎咽
t1 改为支付1点法力：把你卡组顶的4张卡送入墓地；获得1点法力。
## Gravemaw Ossuary
n 墓喉藏骨堂
l0 收骨
t0 在你的准备阶段：你可以从你的墓地特殊召唤1只1级“墓喉”怪兽。
l1 磨碎骨头
t1 你可以支付2点法力并破坏你控制的1只“墓喉”怪兽；抽1张卡。
## Gravemaw Second Helping
n 墓喉再来一份
l0 再来一份
t0 把你的至多2张被放逐的卡返回你的墓地；磨切2张卡。
l1 第三份
t1 改为支付2点法力：另外从你的墓地特殊召唤1只1级“墓喉”怪兽。
## Gravemaw Sepulcher Beast
n 墓喉陵墓巨兽
l0 陵墓飨宴
t0 此卡被召唤时：从你的墓地放逐至多2张卡；抽1张卡。
l1 暴食飨宴
t1 改为支付2点法力：放逐至多3张；抽1张。
## Gravemaw Stolen Supper
n 墓喉偷来的晚餐
l0 偷来的晚餐
t0 支付1点法力：从对手的墓地放逐1张卡。
l1 清空餐桌
t1 改为支付2点法力：从对手的墓地放逐至多3张卡；获得300 LP。
## Gravemaw Tyrant
n 墓喉暴君
l0 吞噬弱者
t0 此卡被召唤时：你可以破坏你控制的另1只怪兽；对对手造成800点伤害。
l1 无尽食欲
t1 你可以支付3点法力并破坏你控制的另1只怪兽；此卡永久获得500攻击力，并对对手造成300点伤害。
## Gravemaw Whelp
n 墓喉幼崽
l0 临死恶意
t0 此卡被破坏时：对对手造成300点伤害。
l1 噬骨之饥
t1 你可以支付1点法力并把此卡从手牌送入墓地；对手控制的1只怪兽永久失去300攻击力。
## Gravemaw, Maw of the World
n 墓喉·世界之口
s 你有5张以上被放逐的卡。费用3点法力。
l0 世界归来
t0 此卡被召唤时：把你的至多3张被放逐的卡返回你的墓地；每返回1张，此卡永久获得200攻击力。
l1 咬住世界
t1 每回合一次——支付3点法力：放逐对手控制的1张卡。
## Gravemaw, the Bottomless
n 墓喉·无底之腹
s 你的墓地有6只以上怪兽 — 支付3法力。
l0 无尽饥饿
t0 此卡被召唤时：从你的墓地特殊召唤1只怪兽。
## Grief Counselor
n 哀伤辅导员
l0 消化失去
t0 每回合一次，你控制的怪兽被破坏时：抽1张卡。
l1 辅导谈话
t1 每回合一次：支付1点法力；获得400 LP。
## Grieve, Who Comes After
n 随后而至的格里夫
l0 随后而至
t0 手牌·把此卡从手牌送入墓地，然后从你的墓地特殊召唤1只攻击力1800以下的怪兽。
## Grinner, Who Plays the Table
n 玩转全桌的格林纳
l0 玩转全桌
t0 此卡被召唤时：掷硬币。正面——对手随机丢弃1张卡。反面——你随机丢弃1张卡。
l1 加码
t1 支付2点法力：掷硬币。正面——此卡获得900攻击力，直到本回合结束。反面——失去900攻击力，直到本回合结束。
## Grunn, Who Eats His Own
n 自食其类的格伦
s 你控制3只以上怪兽 — 支付3法力。
l0 还没吃饱
t0 此卡被召唤时：对手控制的至多2只怪兽永久失去500攻击力。
l1 还在吃
t1 支付1法力并将你控制的另1只怪兽送入墓地：此卡永久获得400攻击力。
## Guardian Amulet
n 守护护符
l0 护佑赐福
t0 在你的准备阶段：你可以获得300 LP。
## Guild Tariff
n 公会关税
## Halo Executor
n 光环执行官
l0 最终裁决
t0 此卡被召唤时：你可以从任意墓地放逐1张卡。
## Head Over Heels
n 神魂颠倒
l0 神魂颠倒
t0 支付1点法力：场上1只怪兽的攻击力与守备力互换，直到本回合结束。
l1 天翻地覆
t1 改为支付2点法力：至多2只怪兽。
## Heads You Lose
n 正面你输
l0 正面你输
t0 支付1点法力：掷硬币。正面——破坏场上1只怪兽。反面——改为破坏你控制的1只怪兽（你不控制怪兽的场合，什么都不发生）。
l1 加倍或清零
t1 改为支付3点法力：掷两枚硬币。至少一枚正面的场合，破坏场上1只怪兽。两枚都是反面的场合，破坏你控制的1只怪兽，且对手抽1张卡。
## Healing Spring
n 治愈之泉
l0 泉水
t0 支付1点法力：获得1000 LP。
l1 圣泉
t1 支付2点法力；获得2200 LP。
## Heart of the Forge
n 熔炉之心
l0 添火
t0 从你的卡组把1张“锻心”卡加入手牌。
l1 白热熔炉
t1 从你的卡组把1张“锻心”卡加入手牌，然后你控制的1只怪兽永久获得400攻击力。
## Heart of the Shrine
n 龙祠之心
l0 祠堂的召唤
t0 在你的准备阶段：你可以从卡组把1只1级龙族怪兽加入手牌。
l1 心火召唤
t1 你可以支付3点法力：从你的手牌特殊召唤1只1级龙族怪兽。
## Heavenly Acolyte
n 天界侍僧
l0 虔诚
t0 此卡被召唤时：你可以从卡组把1张“天界”卡加入手牌。
## Heavenly Altarpiece
n 天界祭坛画
l0 晨间献礼
t0 支付1点法力：获得300 LP。
## Heavenly Archon
n 天界执政官
l0 天军降临
t0 此卡被召唤时：从你的墓地特殊召唤1只1级“天界”怪兽。
l1 静默之光
t1 支付3点法力：对手控制的1只怪兽的效果无效，直到本回合结束。
## Heavenly Ascension
n 天界升华
l0 升华
t0 从你的手牌特殊召唤至多2只“天界”怪兽。
## Heavenly Benediction
n 天界祝祷
l0 祝祷
t0 你控制的1只怪兽本回合不会被破坏；获得300 LP。
l1 双重祝福
t1 改为支付2点法力：至多2只怪兽；获得500 LP。
## Heavenly Bodyguard
n 天界护卫
## Heavenly Choirmaid
n 天界唱诗侍女
l0 祈祷得应
t0 你可以把此卡从手牌送入墓地；从你的卡组特殊召唤1只1级“天界”怪兽。
## Heavenly Collection Plate
n 天界奉献盘
l0 传递奉献盘
t0 每回合一次：获得300 LP。
l1 慷慨的礼拜日
t1 改为支付2点法力，你控制2只以上怪兽的场合：获得300 LP并抽1张卡。
## Heavenly Empyrean, the First Light
n 天界至高天·最初之光
s 你控制“天界炽天君主”。费用4点法力。
l0 最初之光
t0 此卡被召唤时：从你的墓地特殊召唤1只“天界”怪兽。此卡本回合不会被破坏。
## Heavenly Errand Angel
n 天界跑腿天使
l0 小小奇迹
t0 此卡被召唤时：从你的卡组把1张“天界”法术加入手牌。
l1 特快专递
t1 改为支付2点法力：另外获得300 LP。
## Heavenly Herald
n 天界传令使
l0 号角召集
t0 此卡被召唤时：你可以从你的墓地把1只“天界”怪兽加入手牌。
## Heavenly Highest Choir
n 天界至高唱诗班
s 你控制2只以上“天界”怪兽且你有5点以上可用法力。费用4点法力。
l0 唱诗班集结
t0 此卡被召唤时：从你的墓地特殊召唤至多2只“天界”怪兽；它们本回合不会被破坏。
l1 歌之帷幕
t1 支付2点法力：你控制的1只“天界”怪兽本回合不会成为目标。
## Heavenly Intervention
n 天界干预
l0 干预
t0 支付2点法力：把对手控制的1只怪兽返回持有者的手牌。
l1 神圣否决
t1 改为支付4点法力：改为将其放逐。
## Heavenly Reliquary
n 天界圣物匣
l0 开启圣物匣
t0 从你的卡组把1张“天界”卡加入手牌。
l1 神圣启封
t1 从你的卡组把1张“天界”卡加入手牌，然后从你的手牌特殊召唤1只1级“天界”怪兽。
## Heavenly Second Coming
n 天界再临
l0 再临
t0 支付3点法力：从你的墓地特殊召唤1只“天界”怪兽。
l1 荣光加身
t1 改为支付5点法力：它还永久获得500攻击力和500守备力。
## Heavenly Seraph Sovereign
n 天界炽天君主
l0 君主的赐福
t0 此卡被召唤时：你可以从卡组把1张“天界”卡加入手牌。
l1 缄默圣言
t1 你可以支付3点法力：以对手控制的1张卡为目标；其效果无效，直到本回合结束。
## Heavenly Summons
n 天界召唤
l0 天界召唤
t0 从你的卡组特殊召唤1只攻击力1400以下的“天界”怪兽。
l1 至高召唤
t1 改为支付4点法力：无攻击力上限；它本回合不会被破坏。
## Heavenly Vindicator
n 天界辩护者
l0 归于我翼下
t0 此卡被召唤时：你控制的1只“天界”怪兽本回合不会被破坏。
l1 恒久守护
t1 改为支付2点法力：它还永久获得400守备力。
## Herald of the Lightless
n 无光传令官
l0 黑暗宣言
t0 此卡被召唤时：你可以从卡组把1张“无光”法术盖放。
l1 最后布道
t1 此卡在你的墓地的场合：你可以支付2点法力并将其放逐；从你的卡组把1只“无光”怪兽加入手牌。
## Hessel of the Crossroads
n 十字路口的赫塞尔
l0 路口交易
t0 此卡被召唤时：对手抽1张卡；你抽2张卡。
l1 魔鬼的交易
t1 改为支付2点法力：对手抽1张卡；你抽3张卡，但你跳过你的下个抽卡阶段。
## Hest, Who Looks Twice
n 看两眼的赫斯特
l0 第二眼
t0 每回合一次：你可以支付1点法力；把场上1只里侧怪兽翻开。
## Hexweaver Apprentice
n 咒织学徒
l0 第一根线
t0 你可以把此卡从手牌送入墓地；从你的卡组盖放1张“咒织”法术。
## Hexweaver Bargain Bobbin
n 咒织廉价线轴
## Hexweaver Curse Broker
n 咒织咒术掮客
l0 掮客佣金
t0 此卡被召唤时，你有5点以上法力的场合：抽1张卡并获得1点法力。
l1 做空
t1 支付2点法力：对手控制的1只怪兽永久失去400攻击力。
## Hexweaver Grand Magus
n 咒织大魔导师
l0 宏图织卷
t0 此卡被召唤时：你可以从卡组盖放1张“咒织”法术，然后抽1张卡。
l1 拆解与复原
t1 你可以支付3点法力：从你的墓地把1张法术返回手牌。
## Hexweaver Loomguard
n 咒织护机卫
l0 守护织机
t0 对手召唤怪兽时：你可以支付1点法力；从你的卡组盖放1张“咒织”法术。
## Hexweaver Loose Thread
n 咒织松脱线头
l0 拉线头
t0 此卡被召唤时：获得1点法力。
l1 继续拉
t1 改为支付1点法力：现在获得1点法力，并在你的下个回合再获得1点。
## Hexweaver Rethread
n 咒织重新穿线
l0 重新穿线
t0 支付1点法力：从你的墓地把1张法术返回手牌；获得1点法力。
l1 双重缝线
t1 改为支付1点法力：从你的墓地把至多2张法术返回手牌。
## Hexweaver Scribe
n 咒织书记员
l0 改写织纹
t0 此卡被召唤时：你可以从你的墓地把1张法术返回手牌。
## Hexweaver Second Stitch
n 咒织第二针
l0 第二针
t0 从你的墓地把1张速攻法术返回手牌；获得1点法力。
l1 双重缝线
t1 改为支付2点法力：返回2张。
## Hexweaver Snip
n 咒织剪断
l0 剪断
t0 把对手控制的1张法术或神器返回手牌；抽1张卡。
l1 从织物上剪下
t1 改为支付4点法力：将其放逐；抽1张卡。
## Hexweaver Spindlewitch
n 咒织纺锤魔女
l0 纺出第一线
t0 此卡被召唤时：从你的卡组盖放1张“咒织”法术。
l1 倒转纺轮
t1 支付2点法力并从你的墓地放逐此卡：从你的墓地把1张法术返回手牌。
## Hexweaver Tapestry of Debts
n 咒织债务挂毯
l0 重新织入
t0 每回合一次——支付2点法力：从你的墓地盖放1张“咒织”法术。
## Hexweaver Unravel
n 咒织拆解
l0 拆解
t0 支付2点法力：把对手控制的1张法术或神器返回手牌。
l1 化为乌有
t1 改为支付4点法力：放逐对手控制的1张法术或神器。
## Hexweaver's Loom
n 咒织者的织机
l0 纺线
t0 从你的卡组把1张“咒织”卡加入手牌。
l1 织出纹样
t1 从你的卡组把1张“咒织”卡加入手牌，然后抽1张卡。
## Hexweaver, Loom of Fate
n 咒织·命运织机
s 你有5点以上法力。费用2点法力。
l0 重织天命
t0 此卡被召唤时：从你的墓地把至多2张法术加入手牌。
## Hexweaver, Looming Large
n 咒织·庞然逼近
l0 织入的智慧
t0 此卡被召唤时，你有6点以上法力的场合：抽2张卡。
l1 强行织造
t1 改为支付2点法力：无论法力多少都抽2张卡。
l2 重织的命运
t2 每回合一次：支付3点法力；把对手控制的1只怪兽返回持有者的手牌。
## Hexweaver, the Pattern Beneath
n 咒织·底层纹样
s 你的墓地有4张以上法术。费用3点法力。
l0 解读纹样
t0 此卡被召唤时：从你的墓地把至多2张法术加入手牌；获得1点法力。
l1 拆掉他们的织物
t1 支付2点法力：对手控制的1张法术或神器的效果无效，直到本回合结束。
## High Stakes
n 豪赌
l0 豪赌
t0 支付2点法力：只能在对手的主要阶段发动：直到你的下个回合结束，双方受到的战斗伤害全部翻倍。
## Hold the Line
n 稳住阵线
l0 稳住阵线
t0 速攻·支付1点法力：以对手控制的1只怪兽为目标；它本回合不能攻击。
## Hunter's Horn
n 猎人号角
l0 吹响狩猎
t0 你可以支付3点法力：以你控制的1只怪兽为目标；它本回合可以额外攻击一次。
## Ice Warden
n 寒冰守卫
l0 冰霜吐息
t0 对手召唤怪兽时：你可以支付1点法力；它失去300攻击力。
## Ignis the Pyromancer
n 炎术师伊格尼斯
l0 火焰风暴
t0 每回合一次：你可以支付2点法力；对对手造成500点伤害。
## Ilsa of the Long Line
n 长阵的伊尔莎
s 你控制3只以上怪兽。费用2点法力。
l0 稳住阵线
t0 此卡被召唤时：你控制的所有怪兽获得300攻击力，直到本回合结束。
## Immortal Demon
n 不死恶魔
s 场上及双方放逐区都没有圣物且你的墓地有2张以上圣物时：支付2点法力。
l0 临别诅咒
t0 此卡从场上或额外卡组被送入墓地的场合：抽2张卡，然后你可以让场上1张卡的效果无效。
## Immovable Object
n 不动之物
## Implosion
n 内爆
l0 内爆
t0 支付2点法力：放逐对手控制的所有怪兽，但你本回合不能直接攻击。
## Iron Resolve
n 钢铁意志
l0 岿然不动
t0 以你控制的1只怪兽为目标；它获得500守备力，直到本回合结束。
l1 牢不可破
t1 以你控制的1只怪兽为目标；它获得1200守备力，直到本回合结束。
## Kindlekin Ashling
n 薪火灰烬崽
## Kindlekin Bonfire Chief
n 薪火篝火酋长
l0 都回火边来
t0 每回合一次——支付2点法力：从你的墓地特殊召唤至多2只1级火属性怪兽。
## Kindlekin Cindertail
n 薪火烬尾
l0 跟上来
t0 此卡被召唤时：你可以从手牌特殊召唤1只1级火属性怪兽。
l1 温热的足迹
t1 此卡被破坏时：从你的墓地把1只1级火属性怪兽加入手牌。
## Kindlekin Emberthrone
n 薪火余烬王座
s 你控制3只以上怪兽。费用2点法力。
l0 唤向炭火
t0 每回合一次：从你的墓地特殊召唤1只攻击力1000以下的1级火属性怪兽。
l1 全都唤来
t1 改为支付3点法力：从你的墓地特殊召唤至多2只1级火属性怪兽。
l2 温暖兽群
t2 你可以支付2点法力：你控制的至多3只野兽族怪兽获得300攻击力，直到本回合结束。
## Kindlekin Emberwing
n 薪火烬翼
l0 扇动灰烬
t0 每回合一次：从你的墓地特殊召唤1只1级火属性怪兽。
l1 全都扇起来
t1 改为支付2点法力：从你的墓地特殊召唤至多2只1级火属性怪兽。
## Kindlekin Fire Marshal
n 薪火消防长
l0 点名
t0 每回合一次：支付2点法力；从你的墓地把1只1级怪兽返回手牌。
## Kindlekin Flickerpaw
n 薪火闪烁爪
l0 嗅出幼崽
t0 此卡被通常召唤的场合：从你的卡组把1只1级火属性怪兽加入手牌。
l1 唤来幼崽
t1 你可以支付2点法力：从你的手牌特殊召唤1只1级火属性怪兽。
## Kindlekin Hearthnurse
n 薪火炉边保姆
l0 从窝里
t0 每回合一次：从你的手牌特殊召唤1只攻击力1000以下的1级火属性怪兽。
l1 从窝的深处
t1 改为支付3点法力：从你的卡组特殊召唤1只1级火属性怪兽。
## Kindlekin Hearthstone
n 薪火炉石
l0 保持温暖
t0 每回合一次，你控制的怪兽被破坏时：从你的墓地把1只1级火属性怪兽加入手牌。
l1 拨旺炉石
t1 支付2点法力：从你的手牌特殊召唤1只1级火属性怪兽。
## Kindlekin Pile On
n 薪火叠罗汉
l0 叠罗汉
t0 从你的手牌特殊召唤至多3只攻击力1000以下的1级火属性怪兽。
l1 全都叠上来
t1 改为支付3点法力：从你的手牌或墓地。
## Kindlekin Plus-One
n 薪火多带一个
l0 多带一个
t0 此卡被召唤时：你可以从手牌特殊召唤1只“薪火”怪兽。
l1 三人成行
t1 改为支付1点法力：从你的手牌特殊召唤至多2只“薪火”怪兽。
## Kindlekin Pyre Warden
n 薪火柴堆看守
s 你控制2只以上怪兽。费用1点法力。
l0 看好火堆
t0 此卡被召唤时：从你的墓地特殊召唤1只1级火属性怪兽。
l1 寻找引火柴
t1 你可以支付2点法力：从你的卡组把1只1级火属性怪兽加入手牌。
## Kindlekin Pyrewhelp
n 薪火柴堆幼崽
l0 迸溅火星
t0 此卡被破坏时：从你的墓地特殊召唤1只1级火属性怪兽。
l1 添柴
t1 你可以支付2点法力：你控制的1只火属性怪兽获得500攻击力，直到本回合结束。
## Kindlekin Rekindle
n 薪火复燃
l0 复燃
t0 支付1点法力：从你的墓地把1只1级怪兽返回手牌。
l1 死灰复燃
t1 改为支付2点法力：改为将其特殊召唤。
## Kindlekin Sift the Ashes
n 薪火筛灰
l0 筛灰
t0 支付1点法力：把你卡组顶的4张卡送入墓地；把其中1张“薪火”卡加入手牌。
l1 最后一点火星
t1 改为支付1点法力：把其中所有“薪火”卡加入手牌。
## Kindlekin Spark
n 薪火火星
l0 引燃
t0 此卡被召唤时：获得1点法力。
## Kindlekin Tinderfall
n 薪火落柴
l0 落柴
t0 支付1点法力：从你的卡组把1只1级火属性怪兽加入手牌；获得2点法力。
## Kindlekin Warm Glow
n 薪火暖光
l0 暖光
t0 你的至多3只1级怪兽获得300攻击力，直到本回合结束。
l1 炉火光环
t1 改为支付2点法力：至多5只；它们本回合也不会被破坏。
## Kindlekin Warm Memories
n 薪火温暖回忆
l0 温暖回忆
t0 每回合一次，你控制的怪兽被破坏时：获得300 LP。
l1 分享温暖
t1 每回合一次：支付1点法力；你控制的1只1级怪兽获得300攻击力，直到本回合结束。
## Kindlekin, the Last Ember
n 薪火·最后的余烬
s 你控制4只以上怪兽、墓地有6张以上的卡且有3张以上被除外的卡 — 支付4法力。
l0 万物皆焚
t0 此卡被召唤时：破坏场上除野兽族以外的所有怪兽。
l1 灰烬重生
t1 你可以支付3点法力：从你的墓地特殊召唤至多2只1级火属性怪兽。
## Kindlekin, the Thousandth Flame
n 薪火·第一千簇火焰
s 你控制3只以上“薪火”怪兽。费用3点法力。
l0 千点火星
t0 此卡被召唤时：你控制的所有1级怪兽获得500攻击力，直到本回合结束；此卡本回合可以攻击两次。
l1 复燃军团
t1 支付3点法力：从你的墓地特殊召唤至多2只1级火属性怪兽。
## King of Deckay
n 朽库之王
s 你的墓地有8只以上怪兽且你有5点以上可用法力——召唤本身不需要费用。
l0 腐朽加冕
t0 此卡被召唤的场合：磨切10张卡。
l1 腐朽吞噬一切
t1 破坏场上所有其他卡。每破坏1张，你受到200点伤害。
l2 污秽为冠
t2 你在本回合或上回合磨切过的场合：此卡本回合不会成为目标、不受对手效果影响。
## King's Crown
n 王之冠冕
l0 王者之力
t0 在你的准备阶段：你可以在本回合额外获得1点法力并回复200 LP。
## Lantern Sprite
n 提灯小精灵
l0 最后一点光
t0 此卡被破坏时：你获得500 LP。
## Late Bloomer
n 大器晚成
l0 ……晚成
t0 此卡被召唤时：抽1张卡。
l1 全面绽放
t1 改为支付2点法力：抽2张卡。
## Ledger of Small Debts
n 小额债务账本
l0 小额债务
t0 每回合一次：支付800 LP；本回合获得1点法力。
l1 更大的债务
t1 支付1点法力和1500 LP：抽2张卡。
## Left Hand of the Hangman
n 绞刑吏的左手
l0 落板
t0 此卡被召唤时：与此卡对面的表侧怪兽的攻击力低于此卡的场合，将其破坏。
l1 落板
t1 此卡移动到其他区域时：与此卡对面的表侧怪兽的攻击力低于此卡的场合，将其破坏。
l2 走上绞架
t2 支付2点法力：把此卡移动到相邻的空区域；它本回合不能攻击。
## Light Dragon
n 光之龙
l0 光之风暴
t0 每回合一次：你可以支付3点法力；获得600 LP并对对手造成600点伤害。
## Lightless Acolyte
n 无光侍僧
l0 低语献祭
t0 你可以把此卡从手牌送入墓地；从你的卡组把1张“无光”卡加入手牌，若如此做，抽1张卡。
l1 自下攫取
t1 此卡在你的墓地的场合：你可以支付2点法力并将其放逐；把对手控制的1只怪兽以里侧守备表示盖下。
## Lightless Blackout Curtain
n 无光遮光幕
l0 拉上幕布
t0 每回合一次：支付2点法力；从你的手牌把1只“无光”怪兽以里侧盖放。
## Lightless Candle Snuffer
n 无光灭烛器
l0 掐灭烛火
t0 每回合一次——支付2点法力：破坏对手控制的1只里侧怪兽。
## Lightless Closed Casket
n 无光合上的棺椁
l0 合棺
t0 支付1点法力：从你的手牌把至多3只“无光”怪兽以里侧盖放。
l1 唤醒守灵人
t1 改为支付2点法力：从你的手牌把2只“无光”怪兽以里侧盖放；抽2张卡。
## Lightless Gravewatcher
n 无光守墓者
l0 换班守望
t0 此卡被翻开时：把对手控制的1只怪兽以里侧守备表示盖下。
## Lightless Light-Fingered
n 无光手脚不净者
l0 妙手空空
t0 此卡被翻开时：把对手控制的1张法术或神器返回手牌。
l1 藏于掌心
t1 每回合一次：支付1点法力；把此卡以里侧守备表示盖下。
## Lightless Lights-Out
n 无光熄灯令
l0 熄灯
t0 此卡被翻开时：把对手控制的1只怪兽以里侧盖下。
## Lightless Matriarch
n 无光女家长
l0 蒙纱令
t0 此卡被召唤时：你可以把场上至多2只怪兽以里侧守备表示盖下。
l1 熄灭
t1 你可以支付3点法力：破坏对手控制的1只里侧怪兽，然后对对手造成400点伤害。
## Lightless Pallbearer
n 无光抬棺人
l0 抬他们回来
t0 此卡被召唤时：从你的墓地把1只“无光”怪兽以里侧盖放到你的场上。
l1 安静的送葬
t1 改为支付2点法力：另外抽1张卡。
## Lightless Prophet
n 无光先知
l0 掐灭光明
t0 支付1点法力；以场上1只光属性怪兽为目标：将其以里侧守备表示盖下。
## Lightless Ritual
n 无光仪式
l0 暗影之仪
t0 支付2点法力；从你的墓地或放逐区特殊召唤1只“无光”怪兽，若如此做，对手随机丢弃1张卡。
l1 篡夺之仪
t1 支付4点法力；从你的墓地或放逐区特殊召唤1只“无光”怪兽。然后不再丢弃，改为随机翻开对手的1张手牌：是怪兽的场合，特殊召唤到你的场上（离场时仍归还其持有者）。
## Lightless Shade
n 无光暗影
l0 暗影召回
t0 此卡被召唤时：你可以从你的墓地把1只“无光”怪兽加入手牌。
l1 吞噬隐匿者
t1 你可以支付2点法力：以场上1只里侧怪兽为目标；将其破坏。
## Lightless Snuff
n 无光掐烛
l0 掐烛
t0 支付1点法力：把你控制的1只表侧怪兽以里侧盖下。
l1 每一支蜡烛
t1 改为支付2点法力：把你的至多2只怪兽以里侧盖下。
## Lightless Sudden Dark
n 无光骤暗
l0 骤暗
t0 把对手控制的1只怪兽以里侧守备表示盖下。
l1 全然黑暗
t1 改为支付3点法力：至多2只。
## Lightless Veil
n 无光面纱
l0 夜之面纱
t0 以你控制的1只怪兽为目标；将其以里侧守备表示盖下。
l1 深暗面纱
t1 把你控制的1只怪兽以里侧守备表示盖下，然后抽1张卡，且对手失去1点法力。
## Lightless Vigil
n 无光守夜
l0 守夜
t0 从你的卡组把1只“无光”怪兽以里侧盖放到你的场上。
l1 双岗守夜
t1 改为支付3点法力：盖放2只。
## Lightless, Hour of None
n 无光·万籁之时
s 你控制2只以上里侧怪兽。费用3点法力。
l0 时辰已到
t0 此卡被召唤时：把对手控制的至多2只怪兽以里侧守备表示盖下。
l1 再无光亮
t1 支付3点法力：破坏场上1只里侧怪兽；抽1张卡。
## Lightless, the Last Umbra
n 无光·最后的本影
s 你的LP低于对手。费用2点法力。
l0 吞噬光明
t0 此卡被召唤时：放逐对手控制的1只怪兽。
## Lightning Storm
n 雷暴
l0 风暴打击
t0 支付4点法力；破坏对手的1只怪兽并对对手造成300点伤害。
## Lightning Strike
n 落雷
l0 闪电
t0 支付1点法力；对手的1只怪兽永久失去800攻击力。
l1 歼灭之雷
t1 支付3点法力；破坏对手的1只怪兽。
## Load-Bearing Wall
n 承重墙
## Loaded Dice
n 灌铅骰子
l0 再掷一次
t0 支付2点法力：掷硬币。正面——抽1张卡。反面——丢弃1张卡。
## Lock Shields
n 盾墙相扣
l0 盾墙相扣
t0 支付1点法力：以你控制的1只怪兽为目标：它和与它相邻的怪兽获得500守备力，直到本回合结束。
l1 盾墙
t1 改为支付2点法力：它们获得700守备力且本回合不会被破坏。
## Long Way Home
n 漫漫归途
l0 漫漫归途
t0 支付1点法力：把你的至多3张被放逐的卡返回你的墓地。
l1 抄近路
t1 改为支付2点法力：另外从你的墓地把1张卡返回手牌。
## Lost in the Shuffle
n 洗没影了
l0 洗没影了
t0 支付2点法力：把1只攻击力1500以下的怪兽洗入其持有者的卡组。
l1 再也没见过
t1 改为支付4点法力：攻击力不限。
## Lyra the Warden
n 典狱者莱拉
l0 赐福
t0 每回合一次：你可以支付2点法力；获得800 LP。
## Lyria Chimewisp
n 莉里亚风铃精
l0 第一声铃响
t0 翻转：你可以从卡组把1张“莉里亚”卡加入手牌。
## Lyria Curtain Call
n 莉里亚谢幕
l0 谢幕
t0 此卡被召唤时：把你的至多2只里侧怪兽翻开。
l1 全场起立
t1 改为支付2点法力：翻开的怪兽还获得400攻击力，直到本回合结束。
l2 鞠躬退场
t2 每回合一次：支付1点法力；把此卡以里侧守备表示盖下。
## Lyria Drummer
n 莉里亚鼓手
l0 雷鸣节拍
t0 翻转：对手控制的1只怪兽永久失去400攻击力。
## Lyria Flautist
n 莉里亚长笛手
l0 摇篮曲
t0 翻转：你可以把对手控制的1只怪兽以里侧守备表示盖下。
## Lyria Green Room
n 莉里亚后台休息室
l0 各就各位
t0 每回合一次：支付2点法力；从你的墓地把1只“莉里亚”怪兽以里侧特殊召唤。
## Lyria Harpist
n 莉里亚竖琴手
l0 第二乐章
t0 翻转：你可以从手牌把1只1级“莉里亚”怪兽以里侧守备表示特殊召唤。
## Lyria Hushabye
n 莉里亚哄睡曲
l0 哄睡曲
t0 此卡被召唤时：你可以从手牌把1只“莉里亚”怪兽以里侧盖放。
l1 睡个好觉
t1 改为支付2点法力：从手牌把任意名字的1只怪兽以里侧盖放，并抽1张卡。
## Lyria Intermission
n 莉里亚中场休息
l0 中场休息
t0 把你控制的1只怪兽以里侧守备表示盖下；它获得500守备力，直到本回合结束。
l1 延长休息
t1 改为支付2点法力：另外抽1张卡。
## Lyria Orchestra Pit
n 莉里亚乐池
l0 乐队奏响
t0 每回合一次，你的怪兽被翻开时：抽1张卡。
l1 指挥的提示
