# RELIQUARY — UI-Übersetzung Spanisch
# Format: englischer Text <TAB> Übersetzung. '#' = Kommentar.
# Werte werden NICHT getrimmt — Leerzeichen in Bausteinen sind Absicht.
# ---------- Kartenrahmen / Kartentypen ----------
MONSTER	MONSTRUO
DECREE: Each player's first attack per Battle Phase costs {0} Mana.	DECRETO: El primer ataque de cada jugador por Battle Phase cuesta {0} de Maná.
DECREE: Every card either player draws is revealed.	DECRETO: Cada carta que roba cualquiera de los jugadores se revela.
DECREE: Each player can control at most {0} monsters.	DECRETO: Cada jugador puede controlar como máximo {0} monstruos.
Your "{0}" cards cannot be destroyed by card effects.	Tus cartas «{0}» no pueden ser destruidas por efectos de cartas.
Your "Bylaw:" Decrees no longer apply to you — only to your opponent.	Tus Decretos «Bylaw:» ya no se aplican a ti — solo a tu adversario.
If your opponent activates this card's effect: you have {0} additional Mana next turn.	Si tu adversario activa el efecto de esta carta: tienes {0} de Maná adicional en tu próximo turno.
your monsters on your opponent's field	tus monstruos en el campo de tu adversario
the Artifacts on both fields	los Artefactos en ambos campos
# ---------- Status-Badge-Tooltips ----------
Indestructible	Indestructible
Immune	Inmune
Untargetable	Sin objetivo
Negated	Negada
Cannot Attack	No puede atacar
Position Locked	Posición bloqueada
Taunt	Provocación
Piercing	Perforante
Multi-Attack	Multiataque
Poached	Cazada
Temporary Copy	Copia temporal
Stolen	Robada
Countdown	Cuenta atrás
On Borrowed Time	Con los días contados
Death Counters	Contadores de Muerte
Lien	Gravamen
More Statuses	Más estados
Cannot be destroyed this turn — neither by battle nor by card effects.	No puede ser destruida este turno — ni en batalla ni por efectos de cartas.
The opponent's effect actions bounce off this card until the end of the turn.	Las acciones de efecto del adversario rebotan en esta carta hasta el final de este turno.
Cannot be targeted by the opponent's effects this turn.	No puede ser objetivo de los efectos del adversario este turno.
This card's effects are negated until the end of the turn.	Los efectos de esta carta están negados hasta el final de este turno.
This card cannot attack this turn.	Esta carta no puede atacar este turno.
Cannot change its battle position this turn.	No puede cambiar su posición de batalla este turno.
The opponent's attacks must target this card this turn.	Los ataques del adversario deben dirigirse a esta carta este turno.
When it attacks a Defense Position monster this turn, the difference hits the opponent's LP.	Si ataca a un monstruo en Posición de Defensa este turno, la diferencia golpea los LP del adversario.
May attack {0} times this Battle Phase.	Puede atacar {0} veces esta Battle Phase.
When it leaves the field, it is banished instead of going to the Graveyard.	Cuando deja el campo, es desterrada en lugar de ir al Cementerio.
A conjured copy — it fades away during the End Phase.	Una copia conjurada — se desvanece durante la End Phase.
Controlled by someone other than its owner.	Controlada por alguien que no es su dueño.
Its effect strikes when the last Hour Counter is removed — {0} left. One is removed in each of its controller's Standby Phases.	Su efecto se dispara cuando se retira el último Contador de Hora — quedan {0}. Se retira uno en cada Standby Phase de su controlador.
Goes to the Graveyard during the End Phase.	Va al Cementerio durante la End Phase.
This card was Special Summoned onto the field.	Esta carta fue Invocada de modo Especial al campo.
Death Counters on this card: {0}. It gains one each End Phase — at its limit, it goes to the Graveyard.	Contadores de Muerte en esta carta: {0}. Gana uno en cada End Phase — al llegar a su límite, va al Cementerio.
Its controller pays {0} Mana in each of their Standby Phases — or this card is destroyed.	Su controlador paga {0} de Maná en cada una de sus Standby Phases — o esta carta se destruye.
Also active: {0}.	También activos: {0}.
Special Summoned	Invocada de modo Especial
you have {0}+ banished cards	tienes {0}+ cartas desterradas
When its Countdown strikes zero, this card stays on the field.	Cuando su cuenta atrás llegue a cero, esta carta permanece en el campo.
This card gains {0} DEF while it is being attacked.	Esta carta gana {0} DEF mientras es atacada.
Cards your opponent mills are banished instead.	Las cartas que tu adversario muele son desterradas en su lugar.
This card cannot be banished.	Esta carta no puede ser desterrada.
Each player can Summon at most {0} monster(s) per turn.	Cada jugador puede Invocar como máximo {0} monstruo(s) por turno.
During your Standby Phase, your Countdowns tick twice.	Durante tu Standby Phase, tus cuentas atrás avanzan el doble.
Your face-down monsters cannot be destroyed by card effects.	Tus monstruos boca abajo no pueden ser destruidos por efectos de cartas.
When your opponent declares their first attack each turn, they choose: send the top card of their Deck to the Graveyard, or the attack is cancelled.	Cuando tu adversario declara su primer ataque del turno, elige: manda la carta superior de su Mazo al Cementerio, o el ataque se cancela.
INCARNATE	INCARNATE
RITE	RITO
VESSEL	VESSEL
VESSEL — may serve as the vessel of an Incarnate offering.	VESSEL — puede servir como recipiente de una Ofrenda de Incarnate.
OFFERING: Sacrifice monsters whose Levels total exactly {0} — at least one must be a VESSEL. Summoned this way, it returns to the Extra Deck during your next Standby Phase.	OFRENDA: Sacrifica monstruos cuyos Niveles sumen exactamente {0} — al menos uno debe ser un VESSEL. Invocado así, vuelve al Extra Deck en tu próxima Standby Phase.
Monsters that battle this card permanently lose {0} ATK after the battle.	Los monstruos que combaten con esta carta pierden permanentemente {0} ATK tras la batalla.
Your opponent cannot Summon monsters from their Graveyard.	Tu adversario no puede Invocar monstruos desde su Cementerio.
While this card is on the field, neither player can activate Spells.	Mientras esta carta esté en el campo, ningún jugador puede activar Hechizos.
Each time your opponent activates an Artifact effect, this card permanently gains {0} ATK and DEF.	Cada vez que tu adversario activa un efecto de Artefacto, esta carta gana permanentemente {0} ATK y DEF.
If this card would be destroyed, you may discard 1 card from your hand instead.	Si esta carta fuera a ser destruida, puedes descartar 1 carta de tu mano en su lugar.
This card enters the field with the combined printed ATK and DEF of every monster sacrificed for its Summon as its base stats.	Esta carta entra al campo con la suma del ATK y la DEF impresos de todos los monstruos sacrificados para su Invocación como valores base.
Your opponent cannot activate effects in response to your monster effects.	Tu adversario no puede activar efectos en respuesta a tus efectos de monstruo.
Neither player can Special Summon monsters, except Incarnate Summons.	Ningún jugador puede Invocar monstruos de modo Especial, excepto Invocaciones de Incarnate.
